key,russian
perkNightStalkerSlumberPartyLongDesc,"Пижамная вечеринка. Приходить на вечеринку лучше как можно позже. На 50% больше урона спящим жертвам ночью."
perkNightStalkerStealthDamageDesc,"Скрытные атаки ночью наносят на 10% больше урона."
perkNightStalkerStealthDamageLongDesc,"Маскировка. Используя ночь как прикрытие, вы наносите больший урон своим жертвам. Скрытные атаки ночью наносят на 10% больше урона."
perkNightStalkerThiefAdrenalineDesc,"Никакой перегрузки ночью."
perkNightStalkerThiefAdrenalineLongDesc,"Воровской адреналин. Ночью вы ощущаете всплеск адреналина и не чувствуете тяжесть своего груза. Никакой перегрузки ночью."
perkNightStalkerTwilightThiefDesc,"На 5% больше опыта за убийства ночью."
perkNightStalkerTwilightThiefLongDesc,"Сумеречный вор. Кто раньше встал, тот больше съел, а кто ночью не спал, тот всего повидал. На 5% больше опыта за убийства ночью."
perkPistolPete0Desc,"Пит-пистолет — любимое универсальное чтиво любителей 9-мм оружия, интересующихся пистолетами и ПП."
perkPistolPete0Name,"Пит-пистолет"
perkPistolPeteAPAmmoDesc,"Создание бронебойных патронов 9 мм."
perkPistolPeteAPAmmoLongDesc,"Бронебойные патроны. Бронебойные патроны наносят значительно больший урон бронированным целям. Создание бронебойных патронов 9 мм."
perkPistolPeteCompleteDesc,"Пороховой ожог. Выстрелы в упор проходят сквозь броню. Изготовление боеприпасов 9 мм комплектами."
perkPistolPeteCompleteLongDesc,"Пороховой ожог. При выстрелах в упор из оружия калибра 9 мм не учитываются 20% брони и вызывается кровотечение. Создание любых патронов 9 мм комплектами."
perkPistolPeteCompleteName,"Пит-пистолет, завершение"
perkPistolPeteDamageDesc,"Урон оружием калибра 9 мм на 15% больше."
perkPistolPeteDamageLongDesc,"Максимальный урон. Урон оружием калибра 9 мм на 15% больше."
perkPistolPeteHPAmmoDesc,"Создание экспансивных патронов калибра 9 мм."
perkPistolPeteHPAmmoLongDesc,"Экспансивные патроны. Экспансивные пули с выемкой в головной части наносят больше урона при ударе. Создание экспансивных патронов 9 мм."
perkPistolPeteMaintenanceDesc,"Пистолеты и ПП приходят в негодность на 20% медленнее."
perkPistolPeteMaintenanceLongDesc,"Оружие разваливается буквально на глазах? Эта хитрость поможет поддерживать оружие в сохранности дольше. Оружие калибра 9 мм приходит в негодность на 20% медленнее."
perkPistolPeteSteadyHandDesc,"Повышенная точность при быстрой стрельбе из оружия 9 мм."
perkPistolPeteSteadyHandLongDesc,"Уверенный хват — больше пораженных целей и меньше потраченных впустую патронов. Повышенная точность при быстрой стрельбе из оружия 9 мм."
perkPistolPeteSwissKneesDesc,"Каждый последующий выстрел в ногу увеличивает вероятность перелома."
perkPistolPeteSwissKneesLongDesc,"Швейцарские колени. Вы сможете превращать коленные суставы противника в швейцарский сыр. Каждый последующий выстрел в ногу цели увеличивает вероятность перелома на 10%."
perkPistolPeteTakeAimDesc,"При прицеливании дальность оружия 9 мм на 20% выше."
perkPistolPeteTakeAimLongDesc,"Прицеливание. При использовании оптического или механического прицела дальность оружия 9 мм повышается на 20%."
perkRangers0Desc,"Всеобъемлющая серия книг, которая поможет овладеть всеми аспектами стрельбы из лука и арбалетов."
perkRangers0Name,"Гид по лучно-арбалетному оружию"
perkRangersAPAmmoDesc,"Изготовление бронебойных стальных стрел."
perkRangersAPAmmoLongDesc,"Бронебойные стрелы. Куда годится броня, которую можно пробить стрелой? Научитесь создавать стальные стрелы и болты."
perkRangersArrowRecoveryDesc,"Вы сможете получать на 20% стрел больше."
perkRangersArrowRecoveryLongDesc,"Восстановление стрел. Эта хитрость поможет без ущерба доставать из целей на 20% больше стрел и болтов."
perkRangersCompleteDesc,"Создание стрел и болтов комплектами."
perkRangersCompleteLongDesc,"Создание любых стрел и болтов комплектами."
perkRangersCompleteName,"Гид по лучно-арбалетному оружию, завершение"
perkRangersCripplingShotDesc,"Выстрелы в ногу замедляют противника."
perkRangersCripplingShotLongDesc,"Калечащий выстрел. Выстрел в ногу стрелой или болтом замедляет противника."
perkRangersExplodingBoltsDesc,"Создание взрывных стрел и арбалетных болтов."
perkRangersExplodingBoltsLongDesc,"Взрывные стрелы. Не реактивный гранатомет, но со своей задачей справятся. Создание взрывных стрел и арбалетных болтов."
perkRangersFlamingArrowsDesc,"Создание зажигательных стрел и арбалетных болтов."
perkRangersFlamingArrowsLongDesc,"Зажигательные стрелы. В воображении егеря всегда найдется место огненному дождю. Создание зажигательных стрел и арбалетных болтов."
perkRangersForestGuideDesc,"Луки приходят в негодность на 20% медленнее."
perkRangersForestGuideLongDesc,"Надлежащий уход. Научитесь чистить лук и ухаживать за ним. Луки приходят в негодность на 20% медленнее."
perkRangersKnockdownDesc,"На 20% выше вероятность сбить с ног при скрытной атаке."
perkRangersKnockdownLongDesc,"Опрокидывание. При успешной скрытной атаке стрелами на 20% выше вероятность опрокинуть цель."
perkShotgunMessiah0Desc,"Виртуоз дробовика — универсальное чтиво, из которого можно узнать всё о дробовиках. Научитесь стрельбе, уходу за оружием и созданию собственных боеприпасов."
perkShotgunMessiah0Name,"Виртуоз дробовика"
perkShotgunMessiahBreachingSlugsDesc,"Создание боеприпасов с разделённым пороховым зарядом для защищенных объектов."
perkShotgunMessiahBreachingSlugsLongDesc,"Боеприпасы с разделённым пороховым зарядом. Создание боеприпасов, используемых для преодоления дверей, защиты сейфов и хранилищ."
perkShotgunMessiahCompleteDesc,"Большинство деревянных блоков пробиваются с одного выстрела. Создание любых боеприпасов к дробовику комплектами."
perkShotgunMessiahCompleteLongDesc,"С одного выстрела. Вас зажали в угол близком бою — нужно быстро уносить ноги? Эта хитрость позволит проделать дыру в стене. Большинство гипсокартонных и деревянных стен пробиваются с одного выстрела. Создание любых боеприпасов к дробовику комплектами."
perkShotgunMessiahCompleteName,"Виртуоз дробовика, завершение"
perkShotgunMessiahDamageDesc,"Дробовики наносят на 10% больше урона."
perkShotgunMessiahDamageLongDesc,"Урон. Вы узнаете, куда стрелять так, чтобы нанести как можно больше урона. Дробовики наносят на 10% больше урона."
perkShotgunMessiahLimbShotDesc,"Для целей не дальше трех метров повышена вероятность расчленения."
perkShotgunMessiahLimbShotLongDesc,"Стрельба по конечностям. Окончательное решение вопроса с конечностями. Для целей на расстоянии трех метров повышена вероятность расчленения."
perkShotgunMessiahMagazineDesc,"Создание магазинов для дробовика в качестве модификации ствола."
perkShotgunMessiahMagazineLongDesc,"Модификации-магазины. Повышение емкости дробовика. Создание магазинов для дробовика в качестве модификации ствола."
perkShotgunMessiahMaintenanceDesc,"Дробовики приходят в негодность на 20% медленнее."
perkShotgunMessiahMaintenanceLongDesc,"Надлежащий уход. Научитесь чистить дробовик и ухаживать за ним! Дробовики приходят в негодность на 20% медленнее."
perkShotgunMessiahPartyStarterDesc,"Цели с полным здоровьем получают на 20% больше урона."
perkShotgunMessiahPartyStarterLongDesc,"Заводила. Заводите всех с одного нажатия курка. Цели с полным здоровьем получают на 20% больше урона."
perkShotgunMessiahSlugsDesc,"Создание патронов для дробовика."
perkShotgunMessiahSlugsLongDesc,"Патроны для дробовика. Патроны с виду как большие пули и проходят большее расстояние, чем дробь. Создание патронов для дробовика."
perkSniper0Desc,"У бывшего спецназовца по кличке Скользкий Вилли вы научитесь тактике и приемам, которые сделают из вас крутого снайпера."
perkSniper0Name,"Снайпер"
perkSniperAPAmmoDesc,"Создание бронебойных патронов калибра 7,62."
perkSniperAPAmmoLongDesc,"Бронебойные патроны. Научитесь создавать бронебойные патроны 7,62 мм и наносить больше урона бронированным противникам."
perkSniperCompleteDesc,"Создание маскировочного костюма. Создание любых боеприпасов калибра 7,62 мм комплектами."
perkSniperCompleteLongDesc,"Призрак. Смешайтесь с окружением и станьте безупречным убийцей — с помощью маскировочного костюма. Создание маскировочного костюма. Создание любых боеприпасов калибра 7,62 мм комплектами."
perkSniperCompleteName,"Снайпер, завершение"
perkSniperControlledBreathingDesc,"Приближение меньше снижает выносливость."
perkSniperControlledBreathingLongDesc,"Контроль дыхания. Научившись задерживать дыхание, вы снизите колебание ствола и будете стрелять точнее. Приближение меньше снижает выносливость на 15% медленнее."
perkSniperCripplingShotDesc,"Выстрел в ногу приводит к перелому у всех противников (кроме самых сильных); есть вероятность расчленения."
perkSniperCripplingShotLongDesc,"Калечащий выстрел. Если ноги сломаны, их не унести. Выстрел в ногу приводит к перелому у всех противников (кроме самых сильных); есть вероятность расчленения."
perkSniperDamageDesc,"При использовании прицела урон оружия выше на 5%."
perkSniperDamageLongDesc,"Урон. Главное — центр масс. Цельтесь в центр, и будете попадать чаще. При использовании прицела урон оружия выше на 5%."
perkSniperHeadShotDesc,"Выстрелом в голову можно оглушить и, с высокой вероятностью, расчленить."
perkSniperHeadShotLongDesc,"Выстрел в голову. Даже если такое попадание лишь заденет противника, он всё равно наверняка выйдет из боя. Выстрелом в голову можно оглушить и, с высокой вероятностью, расчленить."
perkSniperHPAmmoDesc,"Создать экспансивные патроны 7,62 мм."
perkSniperHPAmmoLongDesc,"Экспансивные патроны. Научиться создавать экспансивные патроны 7,62 мм."
perkSniperReloadDesc,"Винтовки перезаряжаются быстрее на 10%."
perkSniperReloadLongDesc,"Изучив этот продвинутый метод, вы сможете перезаряжать винтовки на 10% быстрее."
perkSpearHunter0Desc,"Обратитесь ко внутреннему дикарю и овладейте забытым искусством охоты с копьем."
perkSpearHunter0Name,"Охота с копьем"
perkSpearHunter1DamageDesc,"Урон увеличивается на 5%."
perkSpearHunter1DamageLongDesc,"Урон: совершенствуя приемы, вы повышаете урон. Урон копьями повышается на 5%."
perkSpearHunter2MaintenanceDesc,"Копья приходят в негодность на 20% медленнее."
perkSpearHunter2MaintenanceLongDesc,"Надлежащий уход: берегите копье, и оно убережет вас! Копья приходят в негодность на 20% медленнее."
perkSpearHunter3SteelSpearsDesc,"Изготовление стальных копий."
perkSpearHunter3SteelSpearsLongDesc,"Стальные копья: изготовление стальных копий с высокими уроном и прочностью."
perkSpearHunter4StrongArmDesc,"Повышение скорости и дальности снарядов на 15%."
perkSpearHunter4StrongArmLongDesc,"Сильная рука: простые упражнения, которые повысят навык метания копья. Повышение скорости и дальности снарядов на 15%."
perkSpearHunter5RapidStrikeDesc,"Повышение скорости атаки на 10%."
perkSpearHunter5RapidStrikeLongDesc,"Быстрый удар: отточив рефлексы, вы сможете делать быстрые удары копьем. Повышение скорости атаки на 10%."
perkSpearHunter6PuncturedLungDesc,"Брошенные копья могут замедлить цель."
perkSpearHunter6PuncturedLungLongDesc,"Пробитые легкие: если такой бросок и не пробьет легкие насквозь, то по крайней мере собьет противнику дыхание. Попавшие в тело брошенные копья с вероятностью 50% замедляют цель на 8 секунд."
perkSpearHunter7QuickStrikeDesc,"Выполненные в быстрой последовательности удары наносят больше урона."
perkSpearHunter7QuickStrikeLongDesc,"Смертельное комбо: выполненные в быстрой последовательности удары копьем наносят на 10% больше урона с каждым ударом (максимум — на 30%)."
perkSpearHunter8CompleteDesc,"Силовые атаки наносят больше урона упавшим врагам."
perkSpearHunter8CompleteLongDesc,"Смертельный прием: приобретенное вами мастерство позволяет проводить опасную силовую атаку. Упавшие противники получают от силовых атак на 50% больше урона."
perkTechJunkie0Desc,"Вы учились собирать полезные гаджеты из обычного домашнего мусора у самого Макдайвера!"
perkTechJunkie0Name,"Техноманьяк"
perkTechJunkie1DamageDesc,"Роботизированное оружие наносит на 15% больше урона."
perkTechJunkie1DamageLongDesc,"Урон от робототехники: ваши роботы стали еще более опасными противниками! Роботизированное оружие наносит на 15% больше урона."
perkTechJunkie2MaintenanceDesc,"Роботизированное оружие и оглушающие жезлы приходят в негодность на 20% медленнее."
perkTechJunkie2MaintenanceLongDesc,"Надлежащий уход: не дайте роботам стать мусором! Роботы и оглушающие жезлы приходят в негодность на 20% медленнее."
perkTechJunkie3APAmmoDesc,"Создание бронебойных боеприпасов для роботизированной пушки."
perkTechJunkie3APAmmoLongDesc,"Бронебойные боеприпасы для роботизированной пушки: устали от бронированных врагов, как губки впитывающих пули? Эти боеприпасы будут проходить через них как сквозь масло. Создание бронебойных боеприпасов для роботизированной пушки."
perkTechJunkie4ShellsDesc,"Создание патронов для роботизированной пушки."
perkTechJunkie4ShellsLongDesc,"Патроны для роботизированной пушки: превратите роботизированную пушку в импровизированный дробовик! Создание патронов для роботизированной пушки."
perkTechJunkie5RepulsorDesc,"Создание модификации Оглушающий репульсор."
perkTechJunkie5RepulsorLongDesc,"Модификация Оглушающий репульсор: эта модификация для оглушающего жезла позволяет разбрасывать зомби ударами электричества."
perkTechJunkie6BatonChargeDesc,"Зарядка оглушающего жезла."
perkTechJunkie6BatonChargeLongDesc,"Заряженный удар: обычные атаки с вероятностью 25%, а силовые — с вероятностью 50% мгновенно заряжают оглушающие жезлы."
perkTechJunkie7HydraulicsDesc,"Повышение скорости стрельбы из роботизированного оружия."
perkTechJunkie7HydraulicsLongDesc,"Гидравлика: сложные манипуляции с гидравликой повышают скорость стрельбы из роботизированного оружия на 10%."
perkTechJunkie8CompleteDesc,"Можно размещать две единицы роботизированного оружия."
perkTechJunkie8CompleteLongDesc,"Изготовление роботизированных боеприпасов комплектами: вы научитесь изготавливать любые боеприпасы для роботизированной пушки комплектами."
perkUrbanCombat0Desc,"Станьте безжалостным городским убийцей, обучившись у лучших военных и экспертов по тактике."
perkUrbanCombat0Name,"Бой в городских условиях"
perkUrbanCombatAdrenalineRushDesc,"Броня не замедляет вас в бою."
perkUrbanCombatAdrenalineRushLongDesc,"Выброс адреналина: используйте выброс адреналина в битве, чтобы наполнить энергией тело. Броня не замедляет вас в бою."
perkUrbanCombatCigarDesc,"Создавайте сигары и выглядите круче сексуального тираннозавра."
perkUrbanCombatCigarLongDesc,"Сигары: сигары увеличивают вашу силу, повышают навык торговли и делают круче сексуального тираннозавра. Научиться создавать сигары."
perkUrbanCombatCompleteDesc,"У глушителей нет штрафа за урон."
perkUrbanCombatCompleteLongDesc,"Глушитель: у огнестрельного оружия с глушителем нет штрафа за урон."
perkUrbanCombatJumpingDesc,"Незаметные приземления производят меньше шума, высота незаметного прыжка не уменьшается."
perkUrbanCombatJumpingLongDesc,"Прыжки: научиться прыгать и тихо приземляться — основа боя в городских условиях. Научитесь этому, чтобы выжить. Используя незаметность, вы всегда приземляетесь тихо, пока не получите урон и высота прыжка не уменьшится."
perkUrbanCombatLandingDesc,"Создать армейские бесшумные ботинки."
perkUrbanCombatLandingLongDesc,"Армейские бесшумные ботинки: создайте армейские бесшумные ботинки, не влияющие на выносливость и уменьшающие шум от передвижения."
perkUrbanCombatLandMinesDesc,"Фугасы не взорвутся, если на них наступить."
perkUrbanCombatLandMinesLongDesc,"Фугасы: тренируйте слух, чтобы услышать отчетливый щелчок механизма фугаса, этим спасете себе ноги для дальнейших походов. Фугасы не взорвутся, если на них наступить."
perkUrbanCombatRoomClearingDesc,"Находясь в помещении, получайте на 5% урона меньше и наносите на 10% урона больше."
perkUrbanCombatRoomClearingLongDesc,"Зачистка комнаты: по комнате за раз — так вы захватите городское здание. Находясь в помещении, получайте на 5% урона меньше и наносите на 10% урона больше."
perkUrbanCombatSneakingDesc,"Копайтесь в мусоре скрытно, не издавая звуков."
perkUrbanCombatSneakingLongDesc,"Скрытность: задев жестянку на полу, можно растревожить осиное гнездо. Копайтесь в мусоре скрытно, не издавая звуков."
perkWasteTreasures0Desc,"Это мои рукописные заметки со всей полезной информацией о выживании, которую я узнал с тех пор, как упали бомбы и поднялись мертвые. Надеюсь, они помогут вам, как помогли и мне. Да пребудет с вами мир, друг мой."
perkWasteTreasures0Name,"Сокровища пустошей"
perkWasteTreasuresAcidDesc,"Дает возможность получать кислоту из автомобилей и медицинского оборудования."
perkWasteTreasuresAcidLongDesc,"Кислота: кислота — чрезвычайно редкое и мощное вещество, которое можно изготовить. Мне удалось найти способ понемногу добывать кислоту из автомобилей и медицинского оборудования. Дает возможность получать кислоту из автомобилей, медицинского оборудования и бочек с кислотой."
perkWasteTreasuresClothDesc,"Научитесь создавать одежду из растительного волокна."
perkWasteTreasuresClothLongDesc,"Ткацкое дело: многое в этой пустоши может привести к кровотечению. Бинтов никогда не бывает достаточно, а найти ткань порою трудно, поэтому я научился ткать из растительных волокон. Теперь у меня много бинтов. Вот мой секрет."
perkWasteTreasuresCoffinsDesc,"Добыть кости украшения и драгоценные камни из гробов."
perkWasteTreasuresCoffinsLongDesc,"Гробы: гробы — сокровищницы апокалипсиса. Научитесь собирать в гробах кости, украшения и драгоценные камни."
perkWasteTreasuresCompleteDesc,"Добывайте кевларовые нити."
perkWasteTreasuresCompleteLongDesc,"Кевларовая нить: всё лучшее военное снаряжение сделано из этого удивительного прочного и легкого материала. Научитесь добывать их из казарменных стульев и военных грузовиков."
perkWasteTreasuresDoorsDesc,"Добывайте дверные ручки из большинства дверей."
perkWasteTreasuresDoorsLongDesc,"Дверные ручки: вы знаете, что многие дверные ручки и детали вроде петель сделаны из латуни? Гильзы тоже делают из латуни! Научитесь добывать латунь из дверей и больше никогда не страдайте от отсутствия пуль."
perkWasteTreasuresHoneyDesc,"Дает небольшую возможность собирать мед с деревьев."
perkWasteTreasuresHoneyLongDesc,"Мед: я обнаружил, что мед — природный антибиотик, который лечит большинство современных неприятных инфекций. Я узнал небольшую хитрость, как добывать немного меда из деревьев."
perkWasteTreasuresSinksDesc,"Добывайте больше свинца и латуни из раковин."
perkWasteTreasuresSinksLongDesc,"Раковины: так много зомби и так мало пуль. Вот хитрость, которую я узнал про добычу свинца и латуни из сантехники."
perkWasteTreasuresWaterDesc,"Очищайте настоящую минеральную воду, вкуснейшую воду в пустоши."
perkWasteTreasuresWaterLongDesc,"Вода: вода нужна вам всегда. Я обнаружил действенный способ очистки воды."
ReinforcedSteelSpikes,"Усиленные стальные шипы"
ReinforcedSteelSpikesDesc,"Эта ловушка с шипами, которую трудно уничтожить, с отличным уроном и отличной взрывостойкостью, является одной из лучших ловушек в игре."
ReinforcedSteelWallTrap,"Стеновая армированная стальная ловушка"
ReinforcedSteelWallTrapDesc,"Используется как броня для вашей базы, а также как ловушка. Не так опасена, как другие ловушки, но обладает лучшими защитными свойствами. Усиленная стальная стена необходима в середине и конце игры."
ReinforcedSteelSpikedWire,"Армированная стальная шипованная проволока"
ReinforcedSteelSpikedWireDesc,"Намного лучше, чем обычная колючая проволока. Усиленная стальная шипованная проволока имеет в 3 раза больше урона, чем обычная колючая проволока, и намного более устойчива. Это как колючая проволока на стероидах."
ReinforcedSteelArmoredWall,"Стена из армированной стали"
ReinforcedSteelArmoredWallDesc,"Бронированная стена, используемая в качестве брони для ваших базовых стен, имеет отличные защитные свойства и наверняка спасет вам жизнь."
ReinforcedSteelEntanglementWire,"Армированная стальная заградительная проволока"
ReinforcedSteelEntanglementWireDesc,"Не наносит никакого урона, но замедляет все, что движется. Молитесь, чтобы вы на самом деле не запутались в одном из них."
bookSkillPointsAdmin1RH,"Мод"
bookSkillPointsDesc,"Мод"
bookExperienceDesc,"Мод"
bookSkillPointsAdmin2RH,"Книга с 2 очками навыков"
bookSkillPointsAdmin5RH,"Книга с 5 очками навыков"
bookSkillPointsAdmin10RH,"Книга с 10 очками навыков"
bookSkillPointsAdmin15RH,"Книга с 15 очками навыков"
bookExperienceAdmin500RH,"Книга с 500 опыта"
bookExperienceAdmin1000RH,"Книга с 1000 опыта"
bookExperienceAdmin2000RH,"Книга с 2000 опыта"
bookExperienceAdmin5000RH,"Книга с 5000 опыта"
bookExperienceAdmin10000RH,"Книга с 10000 опыта"
bookExperienceAdmin50000RH,"Книга с 50000 опыта"
bookExperienceAdmin500000RH,"Книга с 500000 опыта"
skill_SkillBook1,"1 очко навыков."
skill_SkillBook1_offer,"Вы получите 1 очко навыков."
skill_SkillBook1_subtitle,"Вы получили 1 очко навыков."
skill_SkillBook2,"2 очка навыков."
skill_SkillBook2_offer,"Вы получите 2 очка навыков."
skill_SkillBook2_subtitle,"Вы получили 2 очка навыков."
skill_SkillBook5,"5 очков навыков."
skill_SkillBook5_offer,"Вы получите 5 очков навыков."
skill_SkillBook5_subtitle,"Вы получили 5 очков навыков."
skill_SkillBook10,"10 очков навыков."
skill_SkillBook10_offer,"Вы получите 10 очков навыков."
skill_SkillBook10_subtitle,"Вы получили 10 очков навыков."
skill_SkillBook15,"15 очков навыков."
skill_SkillBook15_offer,"Вы получите 15 очков навыков."
skill_SkillBook15_subtitle,"Вы получили 15 очков навыков."
skill_ExpBook500,"500 очков опыта."
skill_ExpBook500_offer,"Вы получите 500 очков опыта."
skill_ExpBook500_subtitle,"Вы получили 500 очков опыта."
skill_ExpBook1000,"1000 очков опыта."
skill_ExpBook1000_offer,"Вы получите 1000 очков опыта."
skill_ExpBook1000_subtitle,"Вы получили 1000 очков опыта."
skill_ExpBook2000,"2000 очков опыта."
skill_ExpBook2000_offer,"Вы получите 2000 очков опыта."
skill_ExpBook2000_subtitle,"Вы получили 2000 очков опыта."
skill_ExpBook5000,"5000 очков опыта."
skill_ExpBook5000_offer,"Вы получите 5000 очков опыта."
skill_ExpBook5000_subtitle,"Вы получили 5000 очков опыта."
skill_ExpBook10000,"10000 очков опыта."
skill_ExpBook10000_offer,"Вы получите 10000 очков опыта."
skill_ExpBook10000_subtitle,"Вы получили 10000 очков опыта."
skill_ExpBook50000,"50000 очков опыта."
skill_ExpBook50000_offer,"Вы получите 50000 очков опыта."
skill_ExpBook50000_subtitle,"Вы получили 50000 очков опыта."
skill_ExpBook500000,"500000 очков опыта."
skill_ExpBook500000_offer,"Вы получите 500000 очков опыта."
skill_ExpBook500000_subtitle,"Вы получили 500000 очков опыта."
disassembleAmmoDesc,"Разберите этот тип боеприпасов и верните половину исходных ресурсов, использованных для их изготовления."
disassemble762x10RH,"Разобрать 7,62 мм (10)"
disassemble762x50RH,"Разобрать 7,62 мм (50)"
disassemble762x250RH,"Разобрать 7,62мм (250)"
disassemble762APx10RH,"Разобрать AP 7,62 мм (10)"
disassemble762APx50RH,"Разобрать AP 7,62 мм (50)"
disassemble762APx250RH,"Разобрать AP 7,62 мм (250)"
disassemble762HPx10RH,"Разобрать HP 7,62 мм (10)"
disassemble762HPx50RH,"Разобрать HP 7,62 мм (50)"
disassemble762HPx250RH,"Разобрать HP 7,62 мм (250)"
disassemble9mmx10RH,"Разобрать 9мм (10)"
disassemble9mmx50RH,"Разобрать 9мм (50)"
disassemble9mmx250RH,"Разобрать 9мм (250)"
disassemble9mmAPx10RH,"Разобрать AP 9мм (10)"
disassemble9mmAPx50RH,"Разобрать AP 9мм (50)"
disassemble9mmAPx250RH,"Разобрать AP 9мм (250)"
disassemble9mmHPx10RH,"Разобрать HP 9мм (10)"
disassemble9mmHPx50RH,"Разобрать HP 9мм (50)"
disassemble9mmHPx250RH,"Разобрать HP 9мм (250)"
disassemble44Magnumx10RH,"Разобрать 44Magnum (10)"
disassemble44Magnumx50RH,"Разобрать 44Magnum (50)"
disassemble44Magnumx250RH,"Разобрать 44Magnum (250)"
disassemble44MagnumHPx10RH,"Разобрать AP 44Magnum (10)"
disassemble44MagnumHPx50RH,"Разобрать AP 44Magnum (50)"
disassemble44MagnumHPx250RH,"Разобрать AP 44Magnum (250)"
disassemble44MagnumAPx10RH,"Разобрать HP 44Magnum (10)"
disassemble44MagnumAPx50RH,"Разобрать HP 44Magnum (50)"
disassemble44MagnumAPx250RH,"Разобрать HP 44Magnum (250)"
disassembleShotgunShellx10RH,"Разобрать патроны для дробовика (10)"
disassembleShotgunShellx50RH,"Разобрать патроны для дробовика (50)"
disassembleShotgunShellx250RH,"Разобрать патроны для дробовика (250)"
disassembleShotgunSlugx10RH,"Разобрать патроны для дробовика (10)"
disassembleShotgunSlugx50RH,"Разобрать патроны для дробовика (50)"
disassembleShotgunSlugx250RH,"Разобрать патроны для дробовика (250)"
disassembleShotgunBreachSlugx10RH,"Разобрать пулевые патроны для дробовика (10)"
disassembleShotgunBreachSlugx50RH,"Разобрать пулевые патроны для дробовика (50)"
disassembleShotgunBreachSlugx250RH,"Разобрать пулевые патроны для дробовика (250)"
disassemble10RH_description,"Разберите 10 таких боеприпасов и верните половину исходных ресурсов, использованных для их изготовления."
disassemble50RH_description,"Разберите 50 таких боеприпасов и верните половину исходных ресурсов, использованных для их изготовления."
disassemble250RH_description,"Разберите 250 таких боеприпасов и верните половину исходных ресурсов, использованных для их изготовления."
disassemble762x10RH_subtitle,"Разобрать 7,62 мм x 10"
disassemble762x50RH_subtitle,"Разобрать 7,62 мм x 50"
disassemble762x250RH_subtitle,"Разобрать 7,62 мм x 250"
disassemble762HPx10RH_subtitle,"Разобрать HP 7,62 мм x 10"
disassemble762HPx50RH_subtitle,"Разобрать HP 7,62 мм x 50"
disassemble762HPx250RH_subtitle,"Разобрать HP 7,62 мм x 250"
disassemble762APx10RH_subtitle,"Разобрать AP 7,62 мм x 10"
disassemble762APx50RH_subtitle,"Разобрать AP 7,62 мм x 50"
disassemble762APx250RH_subtitle,"Разобрать AP 7,62 мм x 250"
disassemble9mmx10RH_subtitle,"Разобрать 9мм х 10"
disassemble9mmx50RH_subtitle,"Разобрать 9мм х 50"
disassemble9mmx250RH_subtitle,"Разобрать 9мм х 250"
disassemble9mmHPx10RH_subtitle,"Разобрать HP 9мм x 10"
disassemble9mmHPx50RH_subtitle,"Разобрать HP 9мм x 50"
disassemble9mmHPx250RH_subtitle,"Разобрать HP 9мм x 250"
disassemble9mmAPx10RH_subtitle,"Разобрать AP 9мм x 10"
disassemble9mmAPx50RH_subtitle,"Разобрать AP 9мм x 50"
disassemble9mmAPx250RH_subtitle,"Разобрать AP 9 мм x 250"
disassemble44magnumx10RH_subtitle,"Разобрать 44 Magnum x 10"
disassemble44magnumx50RH_subtitle,"Разобрать 44 бутылки Magnum x 50"
disassemble44magnumx250RH_subtitle,"Разобрать 44 бутылки Magnum x 250"
disassemble44magnumHPx10RH_subtitle,"Разобрать HP 44 Magnum x 10"
disassemble44magnumHPx50RH_subtitle,"Разобрать HP 44 Magnum x 50"
disassemble44magnumHPx250RH_subtitle,"Разобрать HP 44 Magnum x 250"
disassemble44magnumAPx10RH_subtitle,"Разобрать AP 44 Magnum x 10"
disassemble44magnumAPx50RH_subtitle,"Разобрать AP 44 Magnum x 50"
disassemble44magnumAPx250RH_subtitle,"Разобрать AP 44 Magnum x 250"
disassembleShotgunShellx10RH_subtitle,"Разобрать гильзу для дробовика x 10"
disassembleShotgunShellx50RH_subtitle,"Разобрать патрон для дробовика x 50"
disassembleShotgunShellx250RH_subtitle,"Разобрать гильзу для дробовика x 250"
disassembleShotgunSlugx10RH_subtitle,"Разобрать патрон для дробовика x 10"
disassembleShotgunSlugx50RH_subtitle,"Разобрать патрон для дробовика x 50"
disassembleShotgunSlugx250RH_subtitle,"Разобрать патрон для дробовика x 250"
disassembleShotgunBreachSlugx10RH_subtitle,"Разобрать пулевые патроны для дробовика (10)"
disassembleShotgunBreachSlugx50RH_subtitle,"Разобрать пулевые патроны для дробовика (50)"
disassembleShotgunBreachSlugx250RH_subtitle,"Разобрать пулевые патроны для дробовика (250)"
entitycommand_Pet,"Домашний питомец"
entitycommand_Milk,"Молоко"
entitycommand_FollowMe,"Иди за мной."
entitycommand_StayHere,"Оставайся здесь."
entitycommand_TellMe,"Расскажите мне о себе."
entitycommand_HangOut,"Тусовка здесь."
entitycommand_SetPatrol,"Установить начальную точку патрулирования"
entitycommand_Patrol,"Пожалуйста, патрулируйте эту область."
entitycommand_Hire,"Пожалуйста, присоединитесь ко мне (нанять)"
animalChickens,"Курица"
animalRabbits,"Кролик"
PetBoar,"Домашний кабан"
PetRabbit,"Домашний кролик"
PetStag,"Домашний олень"
PetChicken,"Домашняя курица"
PetPig,"Домашняя свинья"
PetBear,"Домашнее животное медведь"
PetWolf,"Домашний волк"
PetCoyote,"Домашний койот"
PetDoe,"Собака"
